Simulation Results for CPU Components: Program Counter
# vsim -c pc_tb 
# Start time: 11:48:12 on Oct 03,2024
# ** Note: (vsim-3812) Design is being optimized...
# //  Questa Sim
# //  Version 10.6c linux Jul 25 2017
# //
# //  Copyright 1991-2017 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.pc_tb(fast)
# 
# Program counter reset condition passed!
# reset = 1, address = 0
# 
# PC increment operation :Pass!
# Present Address = 1, Previous Adrress = 0
# PC increment operation :Pass!
# Present Address = 2, Previous Adrress = 1
# PC increment operation :Pass!
# Present Address = 3, Previous Adrress = 2
# PC increment operation :Pass!
# Present Address = 4, Previous Adrress = 3
# PC increment operation :Pass!
# Present Address = 5, Previous Adrress = 4
# 
# Program counter reset condition passed!
# reset = 1, address = 0
# 
# PC increment operation :Pass!
# Present Address = 1, Previous Adrress = 0
# PC increment operation :Pass!
# Present Address = 2, Previous Adrress = 1
# PC increment operation :Pass!
# Present Address = 3, Previous Adrress = 2
# PC increment operation :Pass!
# Present Address = 4, Previous Adrress = 3
# PC increment operation :Pass!
# Present Address = 5, Previous Adrress = 4
# PC increment operation :Pass!
# Present Address = 6, Previous Adrress = 5
# PC increment operation :Pass!
# Present Address = 7, Previous Adrress = 6
# PC increment operation :Pass!
# Present Address = 8, Previous Adrress = 7
# PC increment operation :Pass!
# Present Address = 9, Previous Adrress = 8
# PC increment operation :Pass!
# Present Address = 10, Previous Adrress = 9
# ** Note: $finish    : program_counter_tb.sv(21)
#    Time: 170 ns  Iteration: 0  Instance: /pc_tb
# End time: 11:48:22 on Oct 03,2024, Elapsed time: 0:00:10
# Errors: 0, Warnings: 0

Simulation Results for CPU Components: Instruction Decoder
# vsim -c instruction_decoder_tb 
# Start time: 11:51:41 on Oct 03,2024
# ** Note: (vsim-8009) Loading existing optimized design _opt1
# //  Questa Sim
# //  Version 10.6c linux Jul 25 2017
# //
# //  Copyright 1991-2017 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.instruction_decoder_tb(fast)
# Test 1 PASSED.
# Test 2 PASSED.
# Test 3 PASSED.
# Test 4 PASSED.
# Test 5 PASSED.
# ** Note: $finish    : instruction_decoder_tb.sv(90)
#    Time: 50 ns  Iteration: 0  Instance: /instruction_decoder_tb
# End time: 11:51:45 on Oct 03,2024, Elapsed time: 0:00:04
# Errors: 0, Warnings: 0
# vsim -c control_unit_tb 
# Start time: 11:53:30 on Oct 03,2024
# ** Note: (vsim-3812) Design is being optimized...
# //  Questa Sim
# //  Version 10.6c linux Jul 25 2017
# //
# //  Copyright 1991-2017 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.control_unit_tb(fast)
# Test 1 PASSED.
# Test 2 PASSED.
# Test 3 PASSED.
# Test 4 PASSED.
# Test 5 PASSED.
# ** Note: $finish    : control_unit_tb.sv(76)
#    Time: 50 ns  Iteration: 0  Instance: /control_unit_tb
